subject,age,education,ethnicity,gender,gender_other,language,marital,origin,race,race_other,strat_categorize_aud,strat_categorize_vis,strat_image_aud,strat_image_vis,strat_rehearsal_aud,strat_rehearsal_vis,strat_spatial_aud,strat_spatial_vis,strat_story_aud,strat_story_vis,strat_other,wrote_notes,distracted
MTK0621,35,Associate degree,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0623,23,Bachelor's degree,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0625,29,Associate degree,Not Hispanic,Male,,English,Single,United States,White,,23,19,91,27,71,59,0,0,0,0,None,0,0
MTK0626,36,Bachelor's degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,73,73,60,40,96,96,0,0,5,5,,0,0
MTK0627,30,Associate degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,Black|White,,60,60,51,44,67,66,48,48,0,0,,0,0
MTK0628,37,Bachelor's degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,80,80,54,100,33,33,50,50,54,54,"I used my photographic memory to recall words, I'm a very visual person, so I ""remember"" well with my eyes!",1,0
MTK0629,33,Associate degree,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,80,81,21,18,64,63,1,1,58,59,,0,0
MTK0630,40,Some college,Not Hispanic,Male,,English,Single,United States,White,,90,90,60,80,90,90,0,0,50,50,These are the only strategies that I employed to recall the words.,0,0
MTK0631,34,Bachelor's degree,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,58,35,50,7,2,100,83,82,97,98,"I associated a word or group of words with something I either have or have experienced. It was easier to recall the event and then the words associated with that event. For example, my husband was a police officer. I associated Sheriff, badge, suspect, robber, burglar, victim, and knife to that fact and was able to recall that group after I recalled the memory.",0,0
MTK0632,24,Bachelor's degree,Not Hispanic,Male,,English,Single,United States,Asian,,36,88,38,72,39,78,36,44,46,74,,1,0
MTK0633,35,Some college,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,50,70,85,49,20,95,50,50,80,35,all my strategies were covered,0,0
MTK0634,26,Bachelor's degree,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,81,81,3,4,0,0,4,5,84,76,n/a,0,0
MTK0635,38,Bachelor's degree,Not Hispanic,Female,,English,Widowed,United States,White,,80,80,40,25,30,50,0,0,0,0,N/A,0,0
MTK0636,58,Some college,Not Hispanic,Male,,American English,Single,United States,White,,47,78,49,21,48,48,0,0,0,0,,0,0
MTK0637,30,Some college,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,90,93,97,88,82,65,53,85,91,68,"I tried to group words that rhyme, and sometimes make funny sentences with words that I could visualize.",0,0
MTK0638,29,Bachelor's degree,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,1,1,2,72,100,100,1,1,2,100,"Tried to remember the first 3 in the list, then quickly recall the last 2-3 before the buzzer.. but this was too mind numbing and I took a break right before the final recall thing.. the only ones I could recall were the ones I made really good sentences out of (my friend used his truck to take the donkey & oyster to the banker at the bank) lol.",0,1
MTK0639,22,Bachelor's degree,Hispanic,Male,,English,Single,United States,Black,,40,80,70,15,35,81,0,0,0,0,Just tried remembering as best as I could,0,0
MTK0640,28,High school diploma,Not Hispanic,Male,,English,Single,United States,White,,0,0,55,55,75,75,0,0,25,25,,0,0
MTK0642,39,Bachelor's degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,51,70,50,27,91,89,21,28,1,1,"I tried to group words mainly.  animals, food, outdoors or words with the same first letter",0,0
MTK0643,25,Some college,Not Hispanic,Male,,english,Married/Domestic Partnership,United States,White,,95,97,53,64,13,14,6,8,15,11,,0,0
MTK0644,43,Bachelor's degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,68,68,90,90,85,85,3,3,59,59,"I wrote a few, but it was too fast to be helpful.  however, I know some signs, so I often signed them to myself, or used gestures for signs I didn't know, and that was helpful.",1,0
MTK0645,51,Master's degree,Not Hispanic,Male,,English,Single,United States,Asian,,74,74,80,80,8,2,10,9,42,61,,0,0
MTK0646,38,Bachelor's degree,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,100,100,100,100,0,0,100,100,100,100,,0,0
MTK0647,40,Master's degree,Not Hispanic,Male,,english,Divorced,United States,White,,57,50,48,71,45,53,53,62,46,63,,1,0
MTK0650,46,Doctorate degree,Not Hispanic,Male,,English,Single,United States,White,,72,64,94,70,44,37,1,1,33,20,none,0,0
MTK0651,22,Bachelor's degree,Not Hispanic,Male,,English,Single,United States,White,,75,50,100,100,0,20,0,0,100,100,,0,0
MTK0653,33,Associate degree,Not Hispanic,Female,,english,Single,United States,White,,80,73,8,82,12,74,63,65,51,62,,0,0
MTK0654,33,Doctorate degree,Not Hispanic,Male,,English,Single,United States,White,,90,89,53,51,36,37,75,76,97,96,"I used the memory palace technique, which incorporates several of the ideas above. ",0,0
MTK0655,,Not Reported,Not Reported,Not Reported,,Not Reported,Not Reported,Not Reported,Not Reported,,,,,,,,,,,,,,
MTK0656,26,Associate degree,Hispanic,Female,,english,Single,United States,Black,,21,25,23,33,37,30,29,37,8,9,,0,0
MTK0657,45,Associate degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,69,70,90,90,0,0,50,50,0,0,,0,0
MTK0659,29,Associate degree,Not Hispanic,Male,,english,Single,United States,White,,37,42,86,83,18,17,88,49,36,32,,0,0
MTK0660,34,High school diploma,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,93,93,75,32,72,61,56,23,0,0,,0,0
MTK0661,36,Master's degree,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,81,80,80,11,92,92,1,1,80,80,,0,0
MTK0662,27,High school diploma,Not Hispanic,Female,,English,Single,United States,White,,17,7,6,1,14,9,11,8,11,3,,0,0
MTK0665,49,Some college,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,0,74,79,79,11,11,78,76,49,48,"I sometimes tried to connect like sounds together... like words that ended in ""er"". ",0,0
MTK0666,39,Some college,Not Hispanic,Male,,English,Single,United States,White,,35,94,17,90,100,100,2,7,1,1,None. ,0,0
MTK0667,25,Bachelor's degree,Hispanic,Female,,English,Single,United States,Black,,78,79,87,92,76,89,0,76,69,84,,1,0
MTK0668,28,Bachelor's degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,62,62,0,0,75,74,0,0,51,51,,0,0
MTK0669,26,Bachelor's degree,Not Hispanic,Male,,English,Single,India,Asian,,65,49,67,84,54,35,73,45,60,47,,0,0
MTK0670,31,Bachelor's degree,Not Hispanic,Female,,English,Single,United States,White,,100,100,95,90,28,48,21,22,98,100,I spoke the words aloud as I could to try and help form memories. ,1,0
MTK0671,25,Bachelor's degree,Not Hispanic,Female,,english,Single,United States,Black,,100,100,98,97,100,100,50,50,29,55,"I also tried to group words into larger categories. For example, if the word ""fruit"" came up and the word ""peach"" came up before it I tried to remember the word ""fruit"" more so that it would jog my memory for the word ""peach"".",0,0
MTK0672,23,High school diploma,Hispanic,Female,,english,Single,United States,White,,100,100,25,25,45,45,2,1,1,1,,0,0
MTK0673,32,Some college,Not Hispanic,Male,,english,Single,United States,White,,43,46,43,40,30,34,47,42,37,35,no,0,0
MTK0675,36,Associate degree,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,77,75,100,47,77,93,14,48,2,20,Repeated word out loud after it was shown or spoken,0,1
MTK0677,53,Some college,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,24,24,0,0,3,3,3,3,70,70,no,0,0
MTK0679,33,Bachelor's degree,Not Hispanic,Female,,English,Single,United States,White,,13,87,11,93,8,56,0,0,9,73,,0,0
MTK0680,48,High school diploma,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,26,79,49,96,100,100,100,100,20,96,No I tried to use each of the strategies but am pretty sure I have Alzheimers...uuugg...lol....,0,1
MTK0681,33,Some college,Not Hispanic,Female,,English,Divorced,United States,Black,,0,0,25,29,73,68,0,0,0,0,,0,0
MTK0682,25,Some college,Not Hispanic,Male,,english,Single,United States,White,,83,85,84,85,85,80,83,85,82,85,making a story and relating words,1,0
MTK0683,41,Some college,Not Hispanic,Female,,english,Single,United States,White,,90,90,100,100,85,85,50,50,100,100,,0,0
MTK0684,57,Some college,Not Hispanic,Male,,english,Married/Domestic Partnership,United States,White,,50,50,24,24,96,96,66,66,33,33,,0,0
MTK0685,47,Some college,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,100,100,100,100,100,100,100,100,55,55,,1,1
MTK0686,36,Master's degree,Not Hispanic,Female,,Spanish,Divorced,United States,Black|White,,38,39,25,28,86,62,0,0,4,5,Trying to make a song with the words,1,0
MTK0687,33,Some college,Not Hispanic,Male,,english,Single,United States,White,,43,43,12,12,44,44,0,0,43,43,focused more on getting a good easy sentence to remember for the start and then just watched or listened to the rest and whatever else stuck after that on its own or because i just heard it at the end. ,0,0
MTK0688,36,High school diploma,Not Hispanic,Male,,english,Single,United States,White,,100,100,0,0,100,100,0,0,0,0,n/a,1,0
MTK0689,33,Master's degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,100,100,80,80,10,10,30,30,0,0,,0,0
MTK0691,40,Master's degree,Not Hispanic,Female,,English,Married/Domestic Partnership,Jamaica,Black,,93,92,82,80,97,96,0,0,0,0,,0,1
MTK0692,43,Master's degree,Not Hispanic,Male,,Greek,Married/Domestic Partnership,United States,White,,100,100,50,39,100,100,22,3,76,76,,1,1
MTK0693,22,Some college,Not Hispanic,Female,,English,Single,United States,White,,94,91,86,85,94,94,79,80,86,86,In order for me to remember things I have to relate them to something in my life.  Words that went together were easier to remember as well.,1,0
MTK0694,23,High school diploma,Not Hispanic,Female,,English,Single,United States,Black,,3,3,100,100,60,63,1,1,72,21,I didn't really use any other strategies.,0,0
MTK0695,30,Bachelor's degree,Not Hispanic,Female,,Pashto,Single,United States,Asian,,100,100,89,72,100,100,59,50,95,69,,0,0
MTK0697,46,Some college,Not Hispanic,Male,,English,Divorced,United States,White,,45,76,24,84,15,82,52,62,47,67,,0,0
MTK0698,36,Some college,Not Hispanic,Male,,English,Single,United States,White,,50,45,40,35,1,1,0,0,60,50,"I started out using the strategy of just trying to remember the words, but that was a shit strategy. So I tried grouping them together for the most part.",1,0
MTK0699,26,Some college,Hispanic,Female,,English,Single,United States,Asian|White,,85,78,40,46,27,26,36,37,31,25,"I remembered clusters of them at a time, and also used category associations (animal, nature, people, etc)",0,0
MTK0700,33,Some college,Not Hispanic,Female,,ENGLISH,Married/Domestic Partnership,United States,White,,83,82,77,44,84,84,82,83,39,18,No other strategies used.,0,0
MTK0703,60,Bachelor's degree,Not Hispanic,Male,,English,Single,United States,White,,90,50,95,90,20,30,70,50,90,80,"Above pretty much covers it and I used all them strategies. I liked to group in places I am familiar with like .. fridge would be lettuce, food (that got fuzzy fast though). Or sometimes outdoors like jungle, trout, shark. Or playground, babies was a good combo. Sometimes I would remember ones from the previous one later like headband. And I also put females, women, sidewalk, robbed (I think, I may have thought that up, I thought something went with the females and women but I could never remember it) together. Sometimes your mind dreams up words and it all blends together eventually. I just remembered .. nightgown. Thanks, fun hit. I'll be thinking of them now that it is over.",0,0
MTK0704,41,Bachelor's degree,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,American Indian/Alaskan Native|White,,69,68,74,73,48,47,11,12,2,2,,0,0
MTK0705,33,Bachelor's degree,Not Hispanic,Male,,English,Single,United States,White,,0,9,9,10,9,9,11,12,9,9,na,0,0
MTK0706,34,Bachelor's degree,Not Hispanic,Male,,English,Single,United States,White,,86,82,2,2,0,0,1,1,26,26,"I had two strategies. First, group two words together, and try to associate them. Second, do not repeat the words, let them sit. By repeating them, they get jumbled and the associations are broken.",0,0
MTK0707,71,Master's degree,Not Hispanic,Male,,ENGLISH,Married/Domestic Partnership,United States,White,,26,26,0,0,30,30,0,0,5,5,,0,0
MTK0710,29,Bachelor's degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,54,95,23,81,41,71,40,85,22,61,Looking around the appartment and imagining those items here,1,0
MTK0711,26,Some college,Not Hispanic,Male,,English,Single,United States,White,,90,90,40,40,88,88,85,86,55,52,NA,0,0
MTK0715,40,Bachelor's degree,Not Hispanic,Male,,english,Married/Domestic Partnership,United States,White,,90,90,90,90,90,90,90,90,80,80,,1,0
MTK0717,29,Bachelor's degree,Not Hispanic,Male,,English,Single,United States,Black,,72,89,75,75,85,85,6,6,1,1,I tried to remember the words in order and said them out loud at different times.,0,0
MTK0718,27,Bachelor's degree,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,82,82,87,87,74,74,74,74,100,99,I used the story method the most often.,0,0
MTK0719,23,Master's degree,Not Hispanic,Male,,english,Single,United States,White,,46,54,59,76,35,60,63,47,56,35,I used acronyms and letter strategies. ,1,0
MTK0720,31,Master's degree,Not Hispanic,Male,,English,Widowed,United States,White,,40,40,30,85,0,0,0,0,20,10,Repeated the words and tried to use visualization to remember the shape of each word. ,0,0
MTK0721,24,Some college,Not Hispanic,Female,,English,Single,United States,White,,16,15,0,0,62,61,0,0,0,0,,0,0
MTK0722,26,Some college,Not Hispanic,Male,,english,Single,United States,White,,89,89,100,100,88,88,1,1,43,43,,0,0
MTK0723,42,Master's degree,Not Hispanic,Male,,English,Single,United States,White,,90,79,68,4,17,31,0,0,11,18,,0,0
MTK0724,26,Associate degree,Not Hispanic,Male,,english,Single,United States Minor Outlying Islands,White,,49,32,79,97,85,72,57,52,74,61,Just tryied to form sentences from the words in my head,1,0
MTK0725,55,Bachelor's degree,Not Hispanic,Female,,English,Single,United States,White,,95,95,90,90,0,0,0,0,40,50,no other strategies used,0,0
MTK0726,55,High school diploma,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,0,80,45,53,22,23,13,13,56,56,,0,0
MTK0727,29,Bachelor's degree,Not Hispanic,Male,,English,Single,United States,White,,15,30,80,40,5,5,0,0,5,20,,1,0
MTK0728,33,Some college,Hispanic,Female,,ENGLISH,Single,United States,White,,100,100,48,100,100,100,82,82,76,80,,0,0
MTK0729,31,Bachelor's degree,Not Hispanic,Male,,Tamil,Married/Domestic Partnership,India,Asian,,80,60,90,65,60,50,70,50,90,75,"Only the above listed strategies. Grouping animals, drinks, furniture, etc.",0,0
MTK0730,30,Bachelor's degree,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,76,76,1,1,40,41,3,3,14,14,,0,0
MTK0731,36,Some college,Not Hispanic,Female,,English,Single,United States,White,,75,75,60,60,73,74,50,50,0,0,,0,0
MTK0732,37,Some college,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,85,85,46,46,0,0,0,0,85,85,,0,0
MTK0733,61,Master's degree,Not Hispanic,Female,,English,Widowed,United States,White,,99,99,1,1,0,0,0,0,0,0,My strategy was to group like things together as a mnemonic. I think it helps me more than hearing them. I type with two fingers so that slowed me down.,1,0
MTK0734,38,Associate degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,100,100,62,64,90,90,92,92,99,97,I associated words with people that I know.,0,0
MTK0735,49,Some college,Not Hispanic,Female,,english,Divorced,United States,American Indian/Alaskan Native|White,,48,90,39,79,5,5,51,92,54,63,I was mainly grouping like animals or foods,0,0
MTK0736,46,Bachelor's degree,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,40,41,66,10,25,78,0,0,0,0,,1,0
MTK0737,43,Some college,Not Hispanic,Male,,English,Single,United States,Native Hawaiian/Pacific Islander|White,,35,34,16,16,50,49,0,0,9,9,,0,0
MTK0738,46,Some college,Not Hispanic,Female,,english ,Married/Domestic Partnership,United States,White,,75,77,57,47,11,11,66,71,87,87,n/a,0,0
MTK0739,22,Associate degree,Not Hispanic,Male,,English,Single,United States,White,,95,100,86,91,92,74,49,46,94,99,,1,0
MTK0740,55,Some college,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,53,82,43,70,52,38,0,62,44,38,none,0,0
MTK0741,62,Some college,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,70,99,92,91,42,42,94,93,90,93,"When I had typed all the words I could remember, I went through the alphabet one letter at a time to see if I could pull out a word beginning with that letter. On the final trial I created a word salad in my mind and picked through them to see if any of the words were on any of the lists.",0,0
MTK0742,47,Master's degree,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,100,100,91,91,53,52,3,2,1,1,,0,0
MTK0744,36,Bachelor's degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,62,77,44,47,95,97,79,71,51,59,,0,0
MTK0745,30,Bachelor's degree,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,74,74,9,80,90,90,0,0,75,74,None,1,0
MTK0746,25,Associate degree,Not Hispanic,Female,,english,Single,United States,Black,,100,100,28,37,0,0,0,0,0,0,,0,0
MTK0747,32,Bachelor's degree,Not Hispanic,Male,,English,Single,United States,White,,29,68,15,60,7,48,2,4,30,60,"I tried to group words in rhymes, like a rap song.",0,0
MTK0748,66,Associate degree,Not Hispanic,Male,,english,Married/Domestic Partnership,United States,White,,14,14,35,44,32,33,0,0,5,5,,1,0
MTK0749,34,Bachelor's degree,Hispanic,Male,,english,Married/Domestic Partnership,United States,White,,94,57,85,44,100,100,34,26,21,12,I would associate pictures with the spoken word like thief i would picture a thief in my head bullet a bullet etc.,0,0
MTK0750,43,Associate degree,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,76,76,16,33,61,66,1,2,1,1,,0,0
MTK0751,55,Some college,Not Hispanic,Female,,Japanese,Married/Domestic Partnership,Japan,Asian,,64,64,45,20,8,8,44,37,47,42,"No, categorizing was what I did most.",1,0
MTK0752,23,Some college,Not Hispanic,Female,,english,Single,United States,Black,,4,3,61,70,31,31,0,0,1,6,n/a,1,0
MTK0753,27,Associate degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,75,82,69,74,62,62,70,70,74,78,,0,0
MTK0755,37,Bachelor's degree,Not Hispanic,Female,,english,Divorced,United States,White,,81,87,51,69,86,86,0,0,71,63,no,0,0
MTK0756,36,Some college,Not Hispanic,Female,,English,Single,United States,Black,,41,50,75,48,45,55,0,0,0,0,,0,0
MTK0758,44,Bachelor's degree,Not Hispanic,Female,,English,Divorced,United States,White,,69,69,67,17,69,69,17,17,50,50,just the ones covered above but it was frustrating/funny that i would recall words i had forgotten from the previous while trying to remember words for the current trial. i have a feeling these damn words will be coming back to me all night haha,0,0
MTK0759,43,Some college,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,100,100,66,49,100,100,100,100,0,0,none,0,0
MTK0760,22,Some college,Not Hispanic,Male,,English,Single,United States,,,83,83,44,70,61,61,20,20,67,58,I like to make a story with the words,0,0
MTK0761,33,Associate degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,50,50,100,15,50,25,0,0,5,5,,0,0
MTK0762,37,Some graduate education,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,American Indian/Alaskan Native|White,,72,50,39,65,81,81,24,24,15,15,I attempted to genuinely remember the words in the order they were given seemingly making a mental list as it played out.,0,0
MTK0763,29,Bachelor's degree,Not Hispanic,Male,,english,Single,United States,American Indian/Alaskan Native,,95,93,94,93,0,36,88,76,93,97,no,0,0
MTK0764,43,Bachelor's degree,Not Hispanic,Male,,ENGLISH,Married/Domestic Partnership,United States,White,,83,96,90,86,4,5,71,76,92,83,"FORMING SILLY PICTURES LIKE A ""LASER DOLPHIN""",0,0
MTK0765,59,Some college,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,58,58,60,42,52,53,47,47,21,21,"alphbetical orders, groups that were related",0,0
MTK0767,26,Bachelor's degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,68,74,10,65,41,63,13,24,5,7,No other strategies used. ,0,0
MTK0768,43,Some college,Not Hispanic,Female,,English,Single,United States,White,,28,85,35,71,1,6,8,90,3,7,,1,0
MTK0771,31,High school diploma,Not Hispanic,Male,,English,Single,United States,White,,89,74,80,58,83,80,78,78,32,81,,0,0
MTK0773,52,High school diploma,Not Hispanic,Female,,english,Divorced,United States,White,,52,52,80,80,72,72,2,1,53,51,I just tried to remember them ,0,0
MTK0774,39,Bachelor's degree,Not Hispanic,Male,,english,Not Reported,United States,White,,85,97,94,73,78,87,98,75,45,46,Wrote the first letter of each word. Tried to put them to a cadence in my head. Several of these had one or more themes. When I could I used that. ,1,0
MTK0775,39,Some college,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,50,50,70,70,0,0,0,0,50,50,I thought of things that I associate with the words so that I could remember them better.,0,0
MTK0776,42,Bachelor's degree,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,25,20,15,10,85,50,20,10,90,85,,0,0
MTK0777,33,High school diploma,Hispanic,Male,,English ,Single,United States,White,,49,38,65,76,37,100,46,55,74,98,,0,0
MTK0778,38,Some college,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,50,50,70,70,100,100,100,100,100,100,,0,0
MTK0779,32,Associate degree,Not Hispanic,Female,,ENGLISH,Married/Domestic Partnership,United States,White,,100,100,100,100,15,40,47,42,63,38,N/A,0,0
MTK0781,53,Bachelor's degree,Not Hispanic,Female,,English,Single,United States,White,,98,98,81,81,95,95,0,0,1,1,"I tried to remember the first set of 4-5 words and tried to anticipate when the words would end, and try to remember the last few words in the series.  I have a terrible memory so felt I needed to engage some sort of stategy to do well on this HIT.  Thank you",1,0
MTK0782,27,Some college,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,51,45,46,32,44,57,43,48,39,46,,1,0
MTK0784,37,Master's degree,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,Black|White,,71,72,57,68,17,10,63,71,82,82,,1,0
MTK0785,18,High school diploma,Not Hispanic,Female,,english,Single,United States,White,,83,90,90,74,85,69,0,0,100,100,,0,0
MTK0786,38,Master's degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,American Indian/Alaskan Native|White,,76,76,65,65,76,76,0,0,1,18,"I tried to make shorthand notes as I listneed/watched, thisworked well for the short tasks.  However when I got tot the last section after doing so many sections I had forgotten what the scribbled notes from from each section ment, they were easy to decipher while stil fresh.",0,0
MTK0787,24,Some college,Not Hispanic,Male,,English,Single,United States,White,,100,100,70,30,0,0,100,100,100,100,,0,0
MTK0788,31,Associate degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,89,89,86,84,11,10,7,5,22,23,relating certain words to parts of my everyday life,0,0
MTK0789,33,Associate degree,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,Asian|White,,81,76,67,55,64,65,2,3,69,65,,0,0
MTK0790,65,Master's degree,Not Hispanic,Male,,English,Divorced,United States,White,,85,85,56,52,85,85,56,56,55,56,n/a,0,0
MTK0791,28,Associate degree,Not Hispanic,Male,,English,Single,United States,White,,75,85,30,25,0,0,50,65,65,80,"I sometimes looked around the room around me and would point to certain things if they were in the list. At times when body parts were named, I would slap on that part of my body. ",0,0
MTK0793,35,Bachelor's degree,Not Hispanic,Male,,english,Single,United States,White,,79,80,80,65,0,0,0,0,10,10,,1,0
MTK0796,32,Some college,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,100,100,92,92,100,100,100,100,92,93,"repeating words to remember, photo memory",0,0
MTK0797,45,Some college,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,47,41,39,44,24,24,24,24,21,28,i tried to remember all the words that start with the same letter,0,0
MTK0798,35,Bachelor's degree,Not Hispanic,Male,,english,Single,United States,White,,2,2,63,100,91,91,1,1,2,2,,0,0
MTK0799,46,Some college,Not Hispanic,Female,,english,Divorced,United States,White,,100,100,88,88,0,0,88,88,74,74,,1,0
MTK0800,47,Master's degree,Not Hispanic,Female,,English,Single,United States,White,,29,30,74,68,98,98,11,12,92,92,,0,0
MTK0801,30,Bachelor's degree,Hispanic,Male,,Spanish,Single,Dominican Republic,Black|White,,88,88,0,0,38,38,0,0,0,0,,0,0
MTK0802,24,Some college,Not Hispanic,Female,,English,Not Reported,United States,White,,100,100,1,1,100,100,1,1,99,100,,1,1
MTK0803,40,Associate degree,Not Hispanic,Male,,english,Divorced,United States,White,,41,27,40,25,32,39,12,12,47,58,,0,0
MTK0804,25,Some college,Hispanic,Female,,English,Married/Domestic Partnership,United States,White|Other,Hispanic,11,11,93,96,1,1,6,6,60,66,,0,0
MTK0806,24,Associate degree,Not Hispanic,Female,,english,Single,United States,Asian,,72,71,74,79,12,12,75,77,100,100,,0,0
MTK0807,32,High school diploma,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,1,2,15,8,69,71,25,14,0,11,,0,0
MTK0808,30,Associate degree,Not Hispanic,Female,,English,Single,United States,White,,0,100,100,100,0,0,0,0,0,100,Sometimes I wrote the words in the air and that helped a bit.,0,0
MTK0810,28,Bachelor's degree,Not Hispanic,Female,,English,Single,United States,White,,26,15,86,68,95,95,3,1,5,5,None,0,0
MTK0811,45,Bachelor's degree,Not Hispanic,Female,,Turkish,Married/Domestic Partnership,Turkey,White,,50,50,50,50,50,50,0,0,5,5,,0,0
MTK0813,29,Some college,Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,90,90,77,67,33,65,83,83,84,84,,0,0
MTK0814,45,Bachelor's degree,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,46,100,77,19,100,100,0,0,0,0,memorization and recall,0,0
MTK0815,32,Bachelor's degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,Black,,80,80,85,85,65,65,20,20,75,75,,0,0
MTK0817,25,Bachelor's degree,Hispanic,Male,,English,Single,United States,White,,98,97,92,96,18,13,100,100,59,71,,1,0
MTK0819,22,High school diploma,Not Hispanic,Male,,English,Single,United States,White,,63,42,80,23,58,37,87,71,62,55,I closed my eyes during the spoken lists to help me form a better mental image of the items appearing in a scene together. ,0,0
MTK0820,37,Some college,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,75,75,50,50,60,60,10,10,20,20,,1,0
MTK0821,35,Master's degree,Not Hispanic,Female,,english,Married/Domestic Partnership,Canada,White,,93,93,94,94,98,98,2,2,72,72,,0,0
MTK0822,34,High school diploma,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,0,0,14,22,100,100,0,0,0,0,,0,0
MTK0824,31,Bachelor's degree,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,71,73,24,66,13,54,0,0,46,38,,0,0
MTK0825,44,Associate degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,90,79,100,52,100,100,44,44,79,48,,0,0
MTK0826,32,Some college,Not Hispanic,Female,,english ,Married/Domestic Partnership,United States,Black,,78,93,0,29,0,86,77,74,34,18,,0,0
MTK0827,48,High school diploma,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,87,86,86,86,95,94,89,89,86,87,,0,0
MTK0828,31,Bachelor's degree,Hispanic,Male,,english,Single,United States,White,,30,28,56,56,67,67,4,2,6,6,,1,0
MTK0829,26,Bachelor's degree,Not Hispanic,Female,,English,Single,United States,White,,96,96,78,78,100,100,0,0,70,70,"After a while, I felt like I was getting caught up in trying really hard to remember the words, so I started trying to actually clear my mind and let the words settle themselves in, rather than trying to force them in. I still found myself making connections to other words in the groups.",0,0
MTK0830,38,Master's degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,84,84,80,51,95,95,73,73,85,85,I made up songs and rhymes to remember. Some of them were super silly. I struggled on the quicker words either spoken or written. My mind would wander more when I didn't have enough time to formulate the idea and then I felt a panic/stress that made it harder to answer.,0,0
MTK0831,42,Bachelor's degree,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,46,40,38,30,79,33,66,40,89,89,short films/movies,0,0
